Year;Best_current_length_for_message_#0
0;0
0;6
0;6
0;6
0;6
0;6
0;6
0;6
0;6
0;6
0;6
0;6
0;6
0;6
0;6
1;6
1;6
1;6
1;6
1;6
1;6
1;6
1;6
1;6
1;6
1;6
1;6
1;6
1;6
1;6
2;6
2;6
2;6
2;6
2;6
2;6
2;6
2;6
2;6
2;6
2;6
2;6
2;6
2;6
3;6
3;6
3;6
3;6
3;6
3;6
3;6
3;6
3;6
3;6
3;6
3;6
3;6
3;6
3;6
4;6
4;6
4;6
4;6
4;6
4;6
4;6
4;6
4;6
4;6
4;6
4;6
4;6
4;6
4;6
5;6
5;6
5;6
5;6
5;6
5;6
5;6
5;6
5;6
5;6
5;6
5;6
5;6
5;6
6;6
6;6
6;6
6;6
6;6
6;6
6;6
6;6
6;6
6;6
6;6
6;6
6;6
6;6
6;6
7;6
7;6
7;6
7;6
7;6
7;6
7;6
7;6
7;6
7;6
7;6
7;6
7;6
7;6
7;6
8;6
8;6
8;6
8;6
8;6
8;6
8;6
8;6
8;6
8;6
8;6
8;6
8;6
8;6
9;6
9;6
9;6
9;6
9;6
9;6
9;6
9;6
9;6
9;6
9;6
9;6
9;6
9;6
9;6
10;6
10;6
10;6
10;6
10;6
10;6
10;6
10;6
10;6
10;6
10;6
10;6
10;6
10;6
10;6
11;6
11;6
11;6
11;6
11;6
11;6
11;6
11;6
11;6
11;6
11;6
11;6
11;6
11;6
12;6
12;6
12;6
12;6
12;6
12;6
12;6
12;6
12;6
12;6
12;6
12;6
12;6
12;6
12;6
13;6
13;6
13;6
13;6
13;6
13;6
13;6
13;6
13;6
13;6
13;6
13;6
13;6
13;6
13;6
14;6
14;6
14;6
14;6
14;6
14;6
14;6
14;6
14;6
14;6
14;6
14;6
14;6
14;6
15;6
15;6
15;6
15;6
15;6
15;6
15;6
15;6
15;6
15;6
15;6
15;6
15;6
15;6
15;6
16;6
16;6
16;6
16;6
16;6
16;6
16;6
16;6
16;6
16;6
16;6
16;6
16;6
16;6
16;6
17;6
17;6
17;6
17;6
17;6
17;6
17;6
17;6
17;6
17;6
17;6
17;6
17;6
17;6
18;6
18;6
18;6
18;6
18;6
18;6
18;6
18;6
18;6
18;6
18;6
18;6
18;6
18;6
18;6
19;6
19;6
19;6
19;6
19;6
19;6
19;6
19;6
19;6
19;6
19;6
19;6
19;6
19;6
19;6
20;6
20;6
20;6
20;6
20;6
20;6
20;6
20;6
20;6
20;6
20;6
20;6
20;6
20;6
21;6
21;6
21;6
21;6
21;6
21;6
21;6
21;6
21;6
21;6
21;6
21;6
21;6
21;6
21;6
22;6
22;6
22;6
22;6
22;6
22;6
22;6
22;6
22;6
22;6
22;6
22;6
22;6
22;6
22;6
23;6
23;6
23;6
23;6
23;6
23;6
23;6
23;6
23;6
23;6
23;6
23;6
23;6
23;6
24;6
24;6
24;6
24;6
24;6
24;6
24;6
24;6
24;6
24;6
24;6
24;6
24;6
24;6
24;6
25;6
25;6
25;6
25;6
25;6
25;6
25;6
25;6
25;6
25;6
25;6
25;6
25;6
25;6
25;6
26;6
26;6
26;6
26;6
26;6
26;6
26;6
26;6
26;6
26;6
26;6
26;6
26;6
26;6
27;6
27;6
27;6
27;6
27;6
27;6
27;6
27;6
27;6
27;6
27;6
27;6
27;6
27;6
27;6
28;6
28;6
28;6
28;6
28;6
28;6
28;6
28;6
28;6
28;6
28;6
28;6
28;6
28;6
28;6
29;6
29;6
29;6
29;6
29;6
29;6
29;6
29;6
29;6
29;6
29;6
29;6
29;6
29;6
30;6
30;6
30;6
30;6
30;6
30;6
30;6
30;6
30;6
30;6
30;6
30;6
30;6
30;6
30;6
31;6
31;6
31;6
31;6
31;6
31;6
31;6
31;6
31;6
31;6
31;6
31;6
31;6
31;6
31;6
32;6
32;6
32;6
32;6
32;6
32;6
32;6
32;6
32;6
32;6
32;6
32;6
32;6
32;6
33;6
33;6
33;6
33;6
33;6
33;6
33;6
33;6
33;6
33;6
33;6
33;6
33;6
33;6
33;6
34;6
34;6
34;6
34;6
34;6
34;6
34;6
34;6
34;6
34;6
34;6
34;6
34;6
34;6
34;6
35;6
35;6
35;6
35;6
35;6
35;6
35;6
35;6
35;6
35;6
35;6
35;6
35;6
35;6
36;6
36;6
36;6
36;6
36;6
36;6
36;6
36;6
36;6
36;6
36;6
36;6
36;6
36;6
36;6
37;6
37;6
37;6
37;6
37;6
37;6
37;6
37;6
37;6
37;6
37;6
37;6
37;6
37;6
37;6
38;6
38;6
38;6
38;6
38;6
38;6
38;6
38;6
38;6
38;6
38;6
38;6
38;6
38;6
39;6
39;6
39;6
39;6
39;6
39;6
39;6
39;6
39;6
