Year;Average_Voice_level
0;0
0;0
1;20.0
2;20.0
3;20.0
4;20.0
5;20.0
6;20.0
7;20.0
8;20.0
9;20.0
10;20.0
11;20.0
12;20.0
13;20.0
14;20.0
15;20.0
16;20.0
17;20.0
18;20.0
19;20.0
20;20.0
21;20.0
22;20.0
23;20.0
24;20.042
25;20.08
26;20.077
27;20.111
28;20.143
29;20.138
30;20.133
31;20.129
32;20.125
33;20.152
34;20.176
35;20.171
36;20.167
37;20.162
38;20.158
39;20.154
40;20.2
41;20.268
42;20.286
43;20.279
44;20.273
45;20.267
46;20.261
47;20.255
48;20.25
49;20.245
50;20.26
51;20.275
52;20.385
53;20.509
54;20.574
55;20.618
56;20.607
57;20.596
58;20.586
59;20.576
60;20.583
61;20.59
62;20.581
63;20.571
64;20.578
65;20.585
66;20.576
67;20.657
68;20.75
69;20.768
70;20.771
71;20.775
72;20.792
73;20.808
74;20.811
75;20.8
76;20.816
77;20.987
78;21.192
79;21.354
80;21.4
81;21.42
82;21.598
83;21.795
84;21.964
85;22.024
86;22.058
87;22.115
88;22.193
89;22.247
90;22.278
91;22.297
92;22.37
93;22.387
94;22.362
95;22.337
96;22.344
97;22.351
98;22.327
99;22.313
100;22.32
101;22.34
102;22.34
103;22.34
104;22.34
105;22.34
106;22.34
107;22.34
108;22.34
109;22.34
110;22.34
111;22.34
112;22.34
113;22.34
114;22.34
115;22.34
116;22.34
117;22.34
118;22.34
119;22.34
120;22.34
121;22.34
122;22.34
123;22.34
124;22.34
125;22.34
126;22.34
127;22.34
128;22.34
129;22.34
130;22.34
131;22.34
132;22.34
133;22.34
134;22.34
135;22.34
136;22.34
137;22.34
138;22.34
139;22.34
140;22.34
141;22.34
142;22.34
