Year;average_satisfaction_of_red_individuals;average_satisfaction_of_blue_individuals
0;0;0
5;0.462;0.308
10;0.615;0.615
15;0.923;1.077
20;1.077;1.692
25;1.385;2.0
30;1.692;2.462
35;2.154;2.769
40;2.462;3.231
45;2.615;3.846
50;2.923;4.308
55;3.231;4.769
60;3.692;5.077
65;3.846;5.692
70;4.308;6.0
75;5.077;6.0
80;5.385;6.462
85;5.692;6.615
90;6.308;6.769
95;6.615;7.231
100;7.231;7.385
105;7.385;7.538
110;8.0;7.538
115;8.154;8.154
120;8.769;8.308
125;9.077;8.769
130;9.231;9.231
135;9.538;9.692
140;10.0;10.0
145;10.308;10.462
150;10.769;10.769
155;11.538;10.769
160;11.846;11.231
165;12.154;11.692
170;12.462;11.846
175;12.769;12.154
180;13.077;12.615
185;13.077;12.769
190;13.385;13.231
195;13.538;13.231
200;13.538;13.385
205;14.0;13.385
210;14.154;13.538
215;14.308;13.846
220;14.615;14.0
225;15.231;14.154
230;15.692;14.462
235;15.846;14.769
240;15.692;15.077
245;16.308;15.231
250;16.154;15.538
255;16.462;15.692
260;16.462;16.154
265;16.615;16.462
270;16.615;16.923
275;16.769;17.231
280;17.077;17.385
285;17.077;17.538
290;17.385;18.0
295;17.385;18.462
300;17.538;19.077
305;17.846;19.538
310;17.692;19.846
315;17.846;20.154
320;18.462;20.308
325;18.615;20.769
330;18.923;20.769
335;19.077;21.077
340;19.385;20.923
345;19.846;21.231
350;20.154;21.538
355;20.308;21.846
360;20.308;22.308
365;20.615;22.462
370;20.615;22.615
375;20.462;22.615
380;20.769;22.769
385;20.769;23.231
390;21.077;23.385
395;21.077;23.846
400;21.231;24.154
405;21.538;23.692
410;22.0;23.538
415;21.846;23.385
420;22.308;23.692
425;22.615;23.846
430;22.923;24.0
435;23.077;24.615
440;23.077;25.077
445;23.231;25.231
450;23.231;25.692
455;23.692;25.692
460;23.846;26.0
465;24.0;26.308
470;24.154;26.615
475;24.154;26.923
480;24.0;27.231
485;24.154;26.923
490;24.154;27.077
495;24.308;27.231
500;24.615;27.077
505;24.462;27.385
510;24.923;27.692
515;25.231;27.538
520;25.231;27.692
525;25.077;27.692
530;25.077;27.538
535;25.231;27.846
540;25.692;27.846
545;25.846;28.154
550;26.0;28.308
555;26.0;28.154
560;26.0;28.615
565;26.308;28.462
570;26.308;28.0
575;26.615;28.154
580;26.615;28.615
585;26.769;28.615
590;26.615;28.769
595;26.923;28.923
600;26.923;29.385
605;27.692;29.385
610;28.154;29.538
615;28.462;29.692
620;28.615;29.538
625;29.077;29.538
630;29.077;30.0
635;29.385;30.308
640;29.538;30.923
645;30.0;31.077
650;30.308;30.923
655;30.462;31.231
660;30.615;31.077
665;30.923;31.077
670;31.077;31.385
675;31.538;31.385
680;31.385;31.538
685;31.385;32.0
690;31.077;32.154
695;31.231;32.615
700;31.077;32.923
705;30.769;33.385
710;30.769;33.846
715;31.077;34.0
720;31.231;33.846
725;31.538;34.0
730;31.538;33.846
735;31.692;34.154
740;31.538;34.154
745;31.538;34.462
750;31.846;34.615
755;32.154;34.769
760;32.308;34.769
765;32.154;34.462
770;32.154;34.769
775;32.308;35.077
780;32.154;34.923
785;32.154;34.769
790;32.308;34.923
795;32.462;35.077
800;32.308;35.385
805;32.769;35.385
810;33.077;35.538
815;33.231;35.231
820;33.538;35.385
825;33.538;35.846
830;33.385;35.538
835;33.538;35.692
840;33.231;35.692
845;33.231;35.692
850;33.538;35.692
855;33.846;35.846
860;33.692;36.154
865;33.692;36.462
870;34.0;36.154
875;34.0;36.154
880;34.308;36.154
885;33.846;36.0
890;33.846;35.846
895;33.538;36.0
900;33.538;36.0
905;33.846;35.846
910;33.692;35.692
915;33.846;35.538
920;34.0;35.385
925;34.0;36.0
930;34.154;35.846
935;33.846;35.846
940;33.692;35.692
945;33.538;35.538
950;33.385;35.846
955;33.538;35.692
960;33.692;35.846
965;34.308;35.692
970;34.308;36.0
975;34.462;36.0
980;34.462;36.462
985;34.615;36.769
990;34.615;36.769
995;34.308;36.769
1000;34.308;37.231
1005;34.308;37.231
1010;34.462;37.231
1015;34.769;37.385
1020;35.077;37.385
1025;35.385;37.231
1030;35.385;37.077
1035;35.538;37.077
1040;35.692;36.769
1045;35.846;37.077
1050;35.846;37.077
1055;35.692;36.769
1060;35.692;36.923
1065;35.077;37.077
1070;34.923;37.231
1075;34.769;37.538
1080;34.923;37.692
1085;34.923;38.0
1090;34.769;38.154
1095;34.769;38.0
1100;34.923;38.0
1105;34.923;37.846
1110;35.385;37.692
1115;35.077;38.0
1120;35.385;38.308
1125;35.231;38.615
1130;35.077;38.769
1135;34.923;39.231
1140;34.769;39.231
1145;34.769;39.231
1150;34.923;39.077
1155;35.231;39.077
1160;35.538;39.077
1165;35.692;39.231
1170;35.538;38.923
1175;35.385;38.615
1180;35.077;38.769
1185;35.077;38.769
1190;35.077;38.923
1195;34.923;38.769
1200;34.615;39.231
1205;34.769;39.538
1210;34.769;39.231
1215;34.769;39.692
1220;34.615;39.846
1225;34.615;40.0
1230;34.462;40.154
1235;34.308;40.0
1240;34.154;40.154
1245;34.308;40.615
1250;34.154;40.769
1255;34.154;40.923
1260;34.154;41.231
1265;34.308;41.385
1270;34.462;41.385
1275;34.615;41.385
1280;34.462;41.385
1285;34.923;41.385
1290;34.615;41.538
1295;34.615;41.385
1300;34.769;41.538
1305;34.923;41.538
1310;34.923;41.692
1315;34.769;42.308
1320;34.615;42.462
1325;34.462;42.769
1330;34.308;42.769
1335;34.462;42.769
1340;34.154;42.769
1345;34.154;42.769
1350;34.462;42.923
1355;34.308;42.923
1360;34.0;42.923
1365;33.692;42.923
1370;34.0;42.923
1375;34.154;42.923
1380;34.154;43.077
1385;33.846;42.923
1390;34.154;43.077
1395;34.154;43.538
1400;34.308;43.538
1405;34.462;43.692
1410;34.615;43.692
1415;34.769;44.0
1420;34.769;44.0
1425;34.769;44.154
1430;34.923;44.154
1435;35.538;44.308
1440;35.538;44.462
1445;35.538;44.615
1450;35.538;44.769
1455;36.154;44.769
1460;36.308;44.615
1465;36.154;44.923
1470;35.692;44.769
1475;35.692;44.615
1480;35.846;44.615
1485;35.846;44.769
1490;35.538;44.769
1495;35.846;44.769
1500;35.692;44.923
1505;35.692;44.923
1510;36.0;44.769
1515;35.846;44.769
1520;35.692;44.923
1525;36.154;45.077
1530;35.846;45.077
1535;36.0;44.769
1540;35.846;44.462
1545;35.385;44.462
1550;35.231;44.308
1555;35.231;44.462
1560;35.538;44.462
1565;36.0;44.308
1570;36.0;44.308
1575;36.0;44.0
1580;36.462;44.0
1585;36.0;43.846
1590;36.308;44.0
1595;36.308;44.154
1600;36.308;44.154
1605;36.308;43.692
1610;36.308;43.692
1615;36.0;43.846
1620;36.154;43.692
1625;36.154;43.846
1630;36.462;44.0
1635;36.769;44.154
1640;36.615;43.846
1645;36.462;43.846
1650;36.769;43.846
1655;36.769;43.846
1660;36.923;44.154
1665;36.769;44.154
1670;36.615;44.462
1675;36.615;44.154
1680;36.615;44.154
1685;36.462;44.154
1690;36.615;44.154
1695;36.308;44.154
1700;36.154;44.308
1705;35.846;44.308
1710;36.0;44.154
1715;36.0;44.308
1720;36.0;44.308
1725;35.692;44.308
1730;35.846;44.154
1735;36.0;44.0
1740;36.154;44.154
1745;36.0;44.0
1750;35.846;44.308
1755;35.692;44.308
1760;35.538;44.308
1765;35.538;44.154
1770;35.385;44.0
1775;35.385;44.0
1780;35.231;44.154
1785;35.538;44.308
1790;35.385;44.154
1795;35.385;44.308
1800;35.231;44.462
1805;35.077;44.462
1810;35.231;44.462
1815;35.077;44.308
1820;35.385;44.308
1825;35.538;44.154
1830;35.692;44.462
1835;35.538;44.154
1840;35.538;44.0
1845;35.538;44.154
1850;35.385;44.154
1855;35.385;44.154
1860;35.385;44.154
1865;35.692;44.308
1870;35.538;44.154
1875;35.385;44.308
1880;35.231;44.308
1885;35.077;44.0
1890;35.231;43.692
1895;35.231;43.538
1900;35.077;43.538
1905;35.077;43.231
1910;35.077;42.923
1915;34.923;42.769
1920;34.769;42.769
1925;34.615;42.615
1930;34.615;42.615
1935;34.308;42.615
1940;34.154;42.615
1945;34.154;42.769
1950;34.308;42.923
1955;34.308;42.769
1960;34.154;43.077
1965;34.154;43.385
1970;34.154;43.538
1975;34.308;43.538
1980;34.308;43.692
1985;34.308;43.692
1990;34.308;43.385
1995;34.154;43.385
2000;33.846;43.538
2005;33.538;43.846
2010;33.538;43.692
2015;33.538;43.538
2020;33.385;43.692
2025;33.385;43.846
2030;33.231;43.692
2035;33.077;43.846
2040;32.923;43.846
2045;33.385;43.846
2050;33.538;43.692
2055;33.385;43.538
2060;33.385;43.846
2065;33.385;43.538
2070;33.231;43.538
2075;33.077;43.538
2080;32.769;43.231
2085;32.769;43.231
2090;32.769;43.538
2095;32.769;43.231
2100;32.923;43.231
2105;32.769;43.692
2110;32.923;43.385
2115;32.923;43.385
2120;32.769;43.077
2125;32.769;43.538
2130;32.769;43.538
2135;33.077;43.692
2140;33.077;43.385
2145;33.385;43.231
2150;33.692;43.231
2155;33.538;43.077
2160;33.385;43.231
2165;33.538;43.231
2170;33.692;43.231
2175;33.538;43.231
2180;33.538;43.077
2185;33.538;42.615
2190;33.385;42.462
2195;33.231;42.462
2200;33.231;42.462
2205;33.538;42.308
2210;33.538;42.308
2215;33.538;42.154
2220;33.846;41.846
2225;33.692;41.846
2230;33.692;41.385
2235;33.385;41.385
2240;33.231;41.231
2245;33.231;41.077
2250;33.385;41.231
2255;33.231;40.923
2260;33.231;40.769
2265;33.077;40.615
2270;32.923;40.615
2275;32.769;40.462
2280;33.077;40.308
2285;33.077;40.308
2290;32.923;40.462
2295;32.923;40.769
2300;33.077;40.615
2305;32.923;40.615
2310;32.923;40.615
2315;32.923;40.308
2320;32.769;40.462
2325;32.923;40.462
2330;32.769;40.769
2335;32.615;40.769
2340;32.615;40.462
2345;32.154;40.308
2350;32.308;40.308
2355;32.308;40.308
2360;32.308;40.462
2365;32.308;40.462
2370;32.154;40.615
2375;32.154;40.0
2380;32.0;40.0
2385;32.154;39.846
2390;32.308;39.846
2395;32.154;39.846
2400;32.154;40.0
2405;31.692;40.0
2410;31.385;40.0
2415;31.692;40.0
2420;31.692;39.692
2425;31.538;39.692
2430;31.692;39.538
2435;31.692;39.385
2440;31.385;39.385
2445;31.538;39.231
2450;31.692;39.077
2455;31.538;38.769
2460;31.538;38.769
2465;31.538;38.769
2470;31.692;38.769
2475;32.0;38.769
2480;31.846;38.923
2485;31.692;38.769
2490;31.692;38.615
2495;31.692;38.615
2500;31.846;38.308
2505;32.0;38.154
2510;31.846;37.846
2515;31.692;37.692
2520;31.538;37.692
2525;31.231;37.692
2530;31.077;37.538
2535;31.077;37.385
2540;31.077;37.077
2545;30.923;37.077
2550;30.769;37.077
2555;30.462;36.923
2560;30.615;37.077
2565;30.615;37.077
2570;30.462;37.077
2575;30.308;37.231
2580;30.154;37.231
2585;30.0;37.231
2590;30.0;37.231
2595;30.154;37.538
2600;30.154;37.385
2605;30.0;37.385
2610;30.154;37.231
2615;30.0;37.231
2620;30.0;36.769
2625;30.0;36.769
2630;30.0;36.769
2635;30.0;36.615
2640;30.0;36.769
2645;30.0;36.769
2650;29.846;36.923
2655;29.846;37.077
2660;30.0;37.077
2665;30.154;36.769
2670;29.846;36.615
2675;29.692;36.462
2680;29.692;36.308
2685;29.385;36.308
2690;29.231;36.154
2695;29.385;36.154
2700;29.231;36.308
2705;29.077;36.154
2710;29.077;36.308
2715;29.385;36.308
2720;29.231;36.154
2725;29.231;36.615
2730;29.077;36.462
2735;28.769;36.462
2740;28.769;36.462
2745;28.462;36.615
2750;28.462;36.462
2755;28.615;36.615
2760;28.308;36.308
2765;28.308;36.308
2770;28.615;36.308
2775;28.462;36.308
2780;28.308;36.154
2785;28.154;36.154
2790;28.154;36.154
2795;27.846;36.154
2800;27.692;36.154
2805;27.846;36.154
2810;27.846;36.0
2815;28.0;36.154
2820;27.846;36.462
2825;27.692;36.308
2830;27.692;36.154
2835;27.538;36.308
2840;27.538;36.308
2845;27.538;36.154
2850;27.538;36.0
2855;27.538;35.846
2860;27.385;36.0
2865;27.231;35.692
2870;27.231;35.538
2875;27.077;35.692
2880;26.923;35.692
2885;26.923;35.846
2890;26.769;35.538
2895;26.769;35.385
2900;26.923;35.077
2905;26.923;35.077
2910;26.923;35.077
2915;26.923;34.923
2920;26.923;35.077
2925;26.615;34.923
2930;26.615;34.923
2935;26.615;34.769
2940;26.308;34.615
2945;26.308;34.615
2950;26.308;34.462
2955;26.308;34.308
2960;26.462;34.462
2965;26.462;34.462
2970;26.308;34.462
2975;26.308;34.462
2980;26.154;34.462
2985;26.0;34.462
2990;26.0;34.308
2995;26.0;34.154
3000;25.692;34.154
3005;25.538;34.308
3010;25.538;34.308
3015;25.538;34.308
3020;25.846;34.154
3025;25.538;34.308
3030;25.538;34.615
3035;25.538;34.769
3040;25.385;34.769
3045;25.385;34.615
3050;25.385;34.462
3055;25.385;34.154
3060;25.385;34.308
3065;25.385;34.154
3070;25.385;34.308
3075;25.231;34.154
3080;24.769;34.0
3085;24.923;34.0
3090;25.077;34.154
3095;25.077;34.154
3100;25.077;34.154
3105;25.077;33.846
3110;25.077;34.0
3115;24.923;34.0
3120;24.923;33.846
3125;24.769;33.846
3130;24.769;33.846
3135;24.462;33.846
3140;24.462;33.692
3145;24.462;34.0
3150;24.308;34.0
3155;24.308;34.0
3160;24.308;34.0
