Year;distance_to_start_location_as_time_goes
0;0
1;2.0
2;5.0
3;6.0
4;4.0
5;3.0
6;0.0
7;3.0
8;5.0
9;4.0
10;5.0
11;7.0
12;10.0
13;11.0
14;9.0
15;6.0
16;7.0
17;7.0
18;6.0
19;3.0
20;5.0
21;4.0
22;5.0
23;3.0
24;0.0
25;3.0
26;4.0
27;7.0
28;9.0
29;8.0
30;10.0
31;9.0
32;11.0
33;14.0
34;15.0
35;13.0
36;10.0
37;12.0
38;15.0
39;17.0
40;20.0
41;21.0
42;19.0
43;16.0
44;15.0
45;18.0
46;19.0
47;22.0
48;23.0
49;21.0
50;18.0
51;17.0
52;19.0
53;20.0
54;18.0
55;19.0
56;17.0
57;14.0
58;13.0
59;15.0
60;18.0
61;16.0
62;13.0
63;11.0
64;8.0
65;7.0
66;10.0
67;11.0
68;14.0
69;16.0
70;15.0
71;12.0
72;11.0
73;8.0
74;6.0
75;3.0
76;3.0
77;2.0
78;3.0
79;6.0
80;7.0
81;7.0
82;6.0
83;3.0
84;2.0
85;5.0
86;6.0
87;4.0
88;7.0
89;9.0
90;12.0
91;13.0
92;11.0
93;8.0
94;7.0
95;10.0
96;11.0
97;14.0
98;15.0
99;15.0
100;14.0
101;11.0
102;11.0
103;12.0
104;14.0
105;17.0
106;19.0
107;18.0
108;15.0
109;13.0
110;14.0
111;16.0
112;15.0
113;17.0
114;16.0
115;13.0
116;11.0
117;12.0
118;15.0
119;14.0
120;11.0
121;10.0
122;7.0
123;5.0
124;8.0
125;10.0
