Year;Proportion_of_Hawks;proportion_of_peaceful_encounters
0;0;0
0;52.333;0
10;43.8;31
20;38.885;37
30;31.254;45
40;26.937;55
50;26.838;57
60;22.842;71
70;21.189;65
80;19.046;71
90;19.046;65
100;19.722;64
110;21.632;66
120;22.982;58
130;22.724;57
140;20.897;60
150;17.986;68
160;17.758;73
170;17.668;66
180;17.422;68
190;20.241;64
200;18.542;72
210;19.517;69
220;18.357;64
230;20.559;66
240;21.579;61
250;22.509;54
260;21.828;57
270;20.316;69
280;19.752;70
290;22.036;58
300;17.57;66
310;19.441;62
320;21.573;67
330;20.596;58
