Year;Pollution_display;Total_a;Total_b;Total_c
0;0;0;0;0
0;0;0;0;0
1;103;1;103;0
2;125;0;108;0
3;126;0;100;0
4;133;0;103;0
5;138;0;105;0
6;147;0;111;0
7;142;0;105;0
8;151;0;112;0
9;148;1;108;0
10;151;1;111;0
11;160;0;120;0
12;148;0;108;0
13;154;0;113;0
14;155;0;113;0
15;149;1;107;0
16;151;0;109;0
17;155;0;113;0
18;155;0;112;0
19;150;0;107;0
20;153;0;110;0
21;149;0;105;0
22;159;0;115;0
23;151;1;107;0
24;155;1;111;0
25;147;1;104;0
26;147;0;105;0
27;163;0;120;0
28;160;1;117;0
29;151;1;108;0
30;156;0;114;0
31;155;1;112;0
32;153;0;111;0
33;153;0;110;0
34;153;2;110;0
35;154;0;112;0
36;155;0;113;0
37;156;0;113;0
38;156;0;113;0
39;148;0;105;0
40;149;0;105;0
41;155;0;111;0
42;147;1;103;0
43;154;0;110;0
44;149;0;105;0
45;146;1;102;0
46;160;0;117;0
47;164;0;120;0
48;158;0;114;0
49;154;0;110;0
50;155;1;111;0
51;154;0;110;0
52;153;1;109;0
53;153;0;110;0
54;160;0;116;0
55;155;0;111;0
56;152;0;108;0
57;151;0;107;0
58;163;0;118;0
59;157;0;112;0
60;155;0;110;0
61;151;0;106;0
62;155;0;110;0
63;149;0;104;0
64;161;0;115;0
65;161;0;115;0
66;163;0;117;0
67;156;1;110;0
68;159;0;114;0
69;156;1;111;0
70;155;0;111;0
71;154;0;109;0
72;153;0;108;0
73;152;0;107;0
74;162;0;117;0
75;151;1;106;0
76;159;0;114;0
77;156;0;111;0
78;149;0;104;0
79;152;1;107;0
80;151;0;107;0
81;153;0;108;0
82;157;0;112;0
83;147;1;102;0
84;148;0;104;0
85;159;0;115;0
86;151;1;106;0
87;156;1;112;0
88;156;0;113;0
89;151;0;107;0
90;149;0;105;0
91;159;0;115;0
92;157;0;113;0
93;155;0;110;0
94;156;0;111;0
95;159;0;114;0
96;153;0;108;0
97;150;0;105;0
98;150;0;105;0
99;160;0;115;0
100;155;0;109;0
101;162;1;116;0
102;162;0;117;0
103;159;0;114;0
104;159;0;114;0
105;162;1;117;0
106;158;2;113;0
107;153;0;110;0
108;154;0;111;0
109;156;0;112;0
110;158;0;114;0
111;156;0;112;0
112;149;0;105;0
113;159;0;114;0
114;154;0;109;0
115;151;0;106;0
116;154;0;109;0
117;148;0;103;0
118;159;1;114;0
119;154;1;109;0
120;159;0;115;0
121;162;0;118;0
122;158;0;114;0
123;160;0;115;0
124;155;0;110;0
125;152;0;107;0
126;159;0;114;0
127;157;0;112;0
128;155;0;110;0
129;155;0;109;0
130;153;0;107;0
131;163;0;117;0
132;162;0;116;0
133;154;0;108;0
134;151;0;105;0
135;160;1;114;0
136;155;0;110;0
137;160;0;115;0
138;158;0;112;0
139;158;0;112;0
140;164;0;118;0
141;155;0;109;0
142;151;0;105;1
143;151;0;106;1
144;147;1;103;1
145;148;0;105;1
146;146;0;104;1
147;156;0;114;1
148;158;0;117;1
149;153;0;112;1
150;152;0;111;1
151;156;0;115;1
152;156;0;115;1
153;153;0;113;0
154;150;0;109;0
155;156;0;114;0
156;156;0;114;0
157;155;0;112;0
158;152;0;109;0
159;156;0;113;0
160;154;1;110;0
161;151;1;108;0
162;149;0;106;0
163;153;0;110;0
164;156;0;113;0
165;153;0;109;0
166;153;0;109;0
167;162;0;118;0
168;155;0;111;0
169;154;0;109;0
170;149;0;104;0
171;151;0;106;0
172;150;0;105;0
173;159;0;114;0
174;156;0;111;0
175;155;0;109;0
176;166;0;120;0
177;156;0;110;0
178;154;0;108;0
179;148;0;102;0
180;164;0;118;0
181;162;0;116;0
182;163;0;117;0
183;162;0;116;0
184;153;0;107;0
185;155;0;109;0
186;156;0;110;0
187;156;1;109;0
188;159;0;113;0
189;154;0;108;0
190;157;0;111;0
191;157;1;111;0
192;155;0;110;0
193;155;0;110;0
194;150;0;105;0
195;157;1;111;0
196;153;0;108;0
197;156;0;111;0
198;158;0;113;0
199;156;0;111;0
200;154;0;109;0
201;153;0;108;0
202;152;0;106;0
203;156;0;110;0
204;156;0;110;0
205;150;0;104;0
206;149;1;103;0
207;159;1;114;0
208;158;2;114;0
209;155;0;112;0
210;153;0;110;1
211;147;0;104;2
212;155;0;114;2
213;153;0;113;2
214;154;0;115;2
215;151;0;112;3
216;144;0;107;3
217;145;0;109;2
218;147;0;111;2
219;150;0;114;2
220;148;0;112;2
221;150;0;114;1
222;150;0;113;0
223;152;0;114;0
224;149;0;110;0
225;151;0;111;0
226;153;0;112;1
227;155;0;114;0
228;153;0;112;0
229;151;1;109;0
230;155;0;113;0
231;153;2;111;0
232;152;0;111;0
233;150;0;109;0
234;156;0;114;0
235;142;0;99;0
236;160;0;117;0
237;148;1;105;0
238;157;1;114;0
239;151;0;109;0
240;148;0;105;0
241;153;0;110;0
242;143;1;100;0
243;160;0;117;0
244;154;1;111;0
245;154;0;111;0
246;160;0;117;0
247;149;0;106;0
248;152;0;108;0
249;147;0;103;0
250;158;0;114;0
251;153;1;109;0
252;152;1;108;0
253;150;0;107;0
254;161;0;118;0
255;150;0;106;0
256;163;0;119;0
257;157;0;113;0
258;151;0;107;0
259;147;0;102;0
260;158;0;113;0
261;154;0;109;0
262;144;0;99;0
263;149;0;104;0
264;159;2;114;0
265;158;0;114;0
266;157;0;113;0
267;153;0;109;0
268;149;0;105;0
269;148;0;103;0
270;160;0;115;0
271;161;0;116;0
272;153;0;108;0
273;152;1;107;0
274;151;0;106;0
275;149;0;104;0
276;159;0;114;0
277;165;0;120;0
278;157;0;112;0
279;154;0;109;0
280;160;0;115;0
281;156;0;110;0
282;152;0;106;0
