Year;average_satisfaction_of_red_individuals;average_satisfaction_of_blue_individuals
0;0;0
5;0.308;0.462
10;0.769;0.769
15;1.077;1.231
20;1.538;1.538
25;2.154;1.692
30;2.615;2.0
35;3.231;2.154
40;3.538;2.615
45;4.154;2.769
50;4.308;3.385
55;4.769;3.538
60;5.077;4.0
65;5.385;4.462
70;5.846;4.769
75;6.0;5.385
80;6.615;5.538
85;7.231;5.692
90;7.385;6.308
95;7.692;6.769
100;8.0;7.077
105;8.615;7.231
110;8.769;7.692
115;9.077;8.0
120;9.538;8.308
125;9.692;8.923
130;10.154;9.231
135;10.769;9.385
140;10.769;10.154
145;10.769;10.923
150;10.923;11.385
155;11.385;11.385
160;11.846;11.538
165;12.0;11.846
170;12.462;12.154
175;12.769;12.615
180;13.231;12.769
185;13.538;13.231
190;13.692;13.692
195;14.0;14.154
200;14.308;14.462
205;14.308;15.231
210;14.769;15.385
215;14.923;15.846
220;15.077;16.462
225;15.692;16.615
230;16.154;16.769
235;16.462;17.231
240;16.462;17.538
245;16.615;18.0
250;16.923;18.154
255;17.077;18.615
260;17.385;18.923
265;17.846;19.231
270;18.308;19.385
275;18.615;19.538
280;18.923;19.846
285;18.923;20.462
290;19.077;20.615
295;19.538;20.769
300;19.692;21.077
305;20.154;21.231
310;20.308;21.538
315;20.615;21.846
320;20.769;22.0
325;21.231;22.308
330;21.538;22.462
335;22.0;22.769
340;22.308;23.077
345;22.615;23.385
350;23.077;23.692
355;23.538;23.846
360;23.692;24.154
365;23.846;24.462
370;24.154;24.615
375;24.308;24.923
380;24.615;25.231
385;25.077;25.385
390;25.385;25.846
395;25.385;26.154
400;25.692;26.615
405;26.0;26.923
410;26.462;27.231
415;26.923;27.385
420;27.231;27.692
425;27.846;27.846
430;28.154;28.154
435;28.462;28.462
440;28.923;28.769
445;29.077;29.077
450;29.692;29.231
455;29.846;29.385
460;30.0;29.692
465;30.0;30.0
470;30.154;30.462
475;30.308;30.923
480;30.769;31.231
485;30.923;31.538
490;31.231;31.846
495;31.385;32.308
500;31.846;32.615
505;32.154;32.769
510;32.308;33.231
515;32.462;33.385
520;32.923;33.538
525;33.077;33.846
530;33.231;34.308
535;33.385;34.462
540;33.692;34.769
545;34.154;34.923
550;34.769;35.077
555;34.923;35.077
560;34.923;35.385
565;35.077;35.692
570;35.538;35.692
575;35.692;36.0
580;36.0;36.154
585;36.308;36.154
590;36.923;36.308
595;37.231;36.769
600;37.385;37.077
605;37.846;37.385
610;38.0;37.846
615;38.154;38.0
620;38.615;38.0
625;38.769;38.308
630;38.923;38.462
635;38.923;38.769
640;39.231;39.077
645;39.538;39.231
650;39.846;39.385
655;40.0;39.692
660;40.154;39.692
665;40.154;39.846
670;40.462;40.0
675;40.462;40.462
680;40.923;40.615
685;41.231;40.615
690;41.538;40.923
695;41.846;41.077
700;42.0;41.385
705;42.308;41.692
710;42.615;41.846
715;42.615;42.154
720;42.923;42.308
725;43.077;42.615
730;43.077;43.077
735;43.385;43.231
740;43.385;43.385
745;43.538;43.692
750;43.846;43.692
755;44.154;43.692
760;44.154;44.0
765;44.615;44.308
770;44.923;44.308
775;45.077;44.615
780;45.231;44.923
785;45.538;45.231
790;45.846;45.538
795;45.846;45.692
800;46.0;45.692
805;46.0;46.154
810;46.308;46.308
815;46.308;46.462
820;46.462;46.462
825;46.923;46.462
830;46.923;46.769
835;47.077;46.923
840;47.385;46.923
845;47.538;47.077
850;47.692;47.077
855;47.692;47.538
860;47.692;47.692
865;48.0;48.0
870;48.154;48.308
875;48.308;48.462
880;48.462;48.615
885;48.769;48.769
890;49.077;49.077
895;49.231;49.538
900;49.385;49.846
905;49.538;50.0
910;49.692;50.154
915;49.846;50.615
920;50.154;50.769
925;50.154;51.077
930;50.154;51.231
935;50.154;51.692
940;50.308;51.692
945;50.308;52.0
950;50.308;52.0
955;50.308;52.615
960;50.615;52.615
965;50.923;52.615
970;51.077;52.769
975;51.231;52.923
980;51.231;53.231
985;51.385;53.385
990;51.538;53.538
995;51.692;53.538
1000;52.0;53.692
1005;52.0;53.846
1010;52.0;54.154
1015;52.0;54.923
1020;52.0;55.385
1025;52.0;55.385
1030;52.308;55.538
1035;52.308;55.846
1040;52.308;55.846
1045;52.615;56.0
1050;53.231;56.0
1055;53.692;56.0
1060;53.846;56.308
1065;53.846;56.615
1070;54.0;56.769
1075;54.308;56.923
1080;54.615;57.231
